,Rank,Name,URL
3,4,"Matlab codes related to ""Weighted network estimation by the use of topological graph metrics""",https://www.research.ed.ac.uk/en/datasets/matlab-codes-related-to-weighted-network-estimation-by-the-use-of
4,5,Sheep sequence data for wool shedding project,https://www.research.ed.ac.uk/en/datasets/sheep-sequence-data-for-wool-shedding-project
5,6,REstart or STop Antithrombotics Randomised Trial (RESTART) archive,https://www.research.ed.ac.uk/en/datasets/restart-or-stop-antithrombotics-randomised-trial-restart-archive
6,7,CITE-Seq Mouse Lung Macrophages,https://www.research.ed.ac.uk/en/datasets/cite-seq-mouse-lung-macrophages
7,8,"Eyebright species maintenance (scripts and data accompanying Becher et al., Plant Communications)",https://www.research.ed.ac.uk/en/datasets/eyebright-species-maintenance-scripts-and-data-accompanying-beche
8,9,Increased allocation to reproduction reduces future competitive ability in a burying beetle,https://www.research.ed.ac.uk/en/datasets/increased-allocation-to-reproduction-reduces-future-competitive-a
9,10,Malaria parasites regulate intraerythrocytic development duration via serpentine receptor 10 to coordinate with host rhythms,https://www.research.ed.ac.uk/en/datasets/malaria-parasites-regulate-intraerythrocytic-development-duration
10,11,"School staff’s, healthcare professionals’ and policymakers’ views of asthma and school-based asthma programme for primary school children: A qualitative study in Malaysia",https://www.research.ed.ac.uk/en/datasets/school-staffs-healthcare-professionals-and-policymakers-views-of-
11,12,"Matlab Codes for ""Evaluation of Matrix Factorisation Approaches for Muscle Synergy Extraction"" paper",https://www.research.ed.ac.uk/en/datasets/matlab-codes-for-evaluation-of-matrix-factorisation-approaches-fo
12,13,Brexit Twitter data 2017-2019,https://www.research.ed.ac.uk/en/datasets/brexit-twitter-data-2017-2019
13,14,Behavioural and functional magnetic resonance imaging studies: Decision making on belief and feeling while reading tweet texts 2019,https://www.research.ed.ac.uk/en/datasets/behavioural-and-functional-magnetic-resonance-imaging-studies-dec
14,15,Fact checking of politically contentious claims 2017-2019,https://www.research.ed.ac.uk/en/datasets/fact-checking-of-politically-contentious-claims-2017-2019
15,16,"Scottish Election Study, 2016",https://www.research.ed.ac.uk/en/datasets/scottish-election-study-2016
16,17,Improvising Duos - Audio only collection,https://www.research.ed.ac.uk/en/datasets/improvising-duos-audio-only-collection
17,18,The role of prosody and gaze in turn-end anticipation,https://www.research.ed.ac.uk/en/datasets/the-role-of-prosody-and-gaze-in-turn-end-anticipation
18,19,Talking about child protection - Researching the experiences and views of deaf and disabled young people and young adults who have been abused about the child protection system,https://www.research.ed.ac.uk/en/datasets/talking-about-child-protection-researching-the-experiences-and-vi
19,20,Child protection and disability: Implications for practice,https://www.research.ed.ac.uk/en/datasets/child-protection-and-disability-implications-for-practice
20,21,Click-East: Parent-child Play and ADOS from a pilot RCT,https://www.research.ed.ac.uk/en/datasets/click-east-parent-child-play-and-ados-from-a-pilot-rct
21,22,Liz Glass TB_Project,https://www.research.ed.ac.uk/en/datasets/liz-glass-tbproject
22,23,Liz Glass TB Project Genotyping Results,https://www.research.ed.ac.uk/en/datasets/liz-glass-tb-project-genotyping-results
23,24,Structural basis for CAL1-mediated centromere maintenance,https://www.research.ed.ac.uk/en/datasets/structural-basis-for-cal1-mediated-centromere-maintenance
24,25,"Impact of the COVID-19 Lockdown on the Electricity System of Great Britain: A Study on Energy Demand, Generation, Pricing and Grid Stability",https://www.research.ed.ac.uk/en/datasets/impact-of-the-covid-19-lockdown-on-the-electricity-system-of-grea
0,1,Start or STop Anticoagulants Randomised Trial (SoSTART) archive,https://www.research.ed.ac.uk/en/datasets/start-or-stop-anticoagulants-randomised-trial-sostart-archive
1,2,"Matlab codes for ""Refined Composite Multiscale Dispersion Entropy and its Application to Biomedical Signals""",https://www.research.ed.ac.uk/en/datasets/matlab-codes-for-refined-composite-multiscale-dispersion-entropy-
2,3,Voice Perception Assessment - patient data,https://www.research.ed.ac.uk/en/datasets/voice-perception-assessment-patient-data
3,4,Suppressing inflammation to enhance antigen-specific immunity in older humans using p38MAPK inhibitors and vitaminD3 (MRC grant MR/M003833/1),https://www.research.ed.ac.uk/en/datasets/suppressing-inflammation-to-enhance-antigen-specific-immunity-in-
4,5,Welsh vowels,https://www.research.ed.ac.uk/en/datasets/welsh-vowels
5,6,MicroArray Project 1001M Denis Headon,https://www.research.ed.ac.uk/en/datasets/microarray-project-1001m-denis-headon
6,7,"Data from ""Conceptualisation of an efficient particle-based simulation of a twin-screw granulator""",https://www.research.ed.ac.uk/en/datasets/data-from-conceptualisation-of-an-efficient-particle-based-simula
7,8,"Power output, greenhouse gas emissions and associated marginal changes on the British grid 2009-2014",https://www.research.ed.ac.uk/en/datasets/power-output-greenhouse-gas-emissions-and-associated-marginal-cha-2
8,9,mNAP,https://www.research.ed.ac.uk/en/datasets/mnap
9,10,A neuroimaging dataset of brain tumour patients,https://www.research.ed.ac.uk/en/datasets/a-neuroimaging-dataset-of-brain-tumour-patients
10,11,Navigate the Blood,https://www.research.ed.ac.uk/en/datasets/navigate-the-blood
11,12,"Matlab codes for ""The Complex Hierarchical Topology of EEG Functional Connectivity""",https://www.research.ed.ac.uk/en/datasets/matlab-codes-for-the-complex-hierarchical-topology-of-eeg-functio
12,13,"""Increased Abundance of M cells in the Gut Epithelium Dramatically Enhances Oral Prion Disease Susceptibility""",https://www.research.ed.ac.uk/en/datasets/increased-abundance-of-m-cells-in-the-gut-epithelium-dramatically
13,14,Arts for advocacy: creative engagement with forced displacement in Morocco 2016-2018,https://www.research.ed.ac.uk/en/datasets/arts-for-advocacy-creative-engagement-with-forced-displacement-in
14,15,Better Bones,https://www.research.ed.ac.uk/en/datasets/better-bones
15,16,Wilfred Goldmann Sheep genome sequencing data project 2337N,https://www.research.ed.ac.uk/en/datasets/wilfred-goldmann-sheep-genome-sequencing-data-project-2337n
16,17,The structure and oxidation of the eye lens chaperone αA-crystallin,https://www.research.ed.ac.uk/en/datasets/the-structure-and-oxidation-of-the-eye-lens-chaperone-αa-crystall
17,18,The genetic architecture of helminth-specific immune responses in a wild population of Soay sheep (Ovis aries),https://www.research.ed.ac.uk/en/datasets/the-genetic-architecture-of-helminth-specific-immune-responses-in
18,19,Developmental competence and antigen switch frequency can be uncoupled in Trypanosoma brucei,https://www.research.ed.ac.uk/en/datasets/developmental-competence-and-antigen-switch-frequency-can-be-unco
19,20,"Exploring the provision of supportive care for patients with severe, potentially life-threatening COPD in Malaysia: a qualitative study of gaps and barriers, facilitators and solutions from the perspective of patients, health care providers and policy makers",https://www.research.ed.ac.uk/en/datasets/exploring-the-provision-of-supportive-care-for-patients-with-seve
20,21,Register for Asthma Research (REACH) database,https://www.research.ed.ac.uk/en/datasets/register-for-asthma-research-reach-database
21,22,2302N_Bishop 1 pool of 5 cheviot lambs and single separate 5 ewes sequencing data results,https://www.research.ed.ac.uk/en/datasets/2302nbishop-1-pool-of-5-cheviot-lambs-and-single-separate-5-ewes-
22,23,Deciding on Personalized Ads: Nudging Developers About User Privacy,https://www.research.ed.ac.uk/en/datasets/deciding-on-personalized-ads-nudging-developers-about-user-privac
23,24,Maternal longevity and offspring sex in wild ungulates,https://www.research.ed.ac.uk/en/datasets/maternal-longevity-and-offspring-sex-in-wild-ungulates
24,25,Tobacco Control Capacity Programme (TCCP) Data,https://www.research.ed.ac.uk/en/datasets/tobacco-control-capacity-programme-tccp-data
0,1,Scripts,https://www.research.ed.ac.uk/en/datasets/scripts
1,2,Simulations to explore impact of calibration of model parameters on climate sensitivity,https://www.research.ed.ac.uk/en/datasets/simulations-to-explore-impact-of-calibration-of-model-parameters-
2,3,TrimBot2020 Dataset for Garden Navigation and Bush Trimming,https://www.research.ed.ac.uk/en/datasets/trimbot2020-dataset-for-garden-navigation-and-bush-trimming
3,4,Voice Perception Assessment,https://www.research.ed.ac.uk/en/datasets/voice-perception-assessment
4,5,Automated parameter tuning applied to sea ice in a global climate model,https://www.research.ed.ac.uk/en/datasets/automated-parameter-tuning-applied-to-sea-ice-in-a-global-climate
5,6,Whites writing whiteness dataset,https://www.research.ed.ac.uk/en/datasets/whites-writing-whiteness-dataset
6,7,"Historical Atlantic salmon pedigree for the Burrishoole catchment, Co. Mayo, and associated quantitative genetic analyses",https://www.research.ed.ac.uk/en/datasets/historical-atlantic-salmon-pedigree-for-the-burrishoole-catchment
7,8,"Physical and visual effects of ocean acidification on cold-water coral (Lophelia pertusa) skeleton samples from the Southern California Bight, USA (2010-2015) and the Mingulay Reef Complex, UK (2012)",https://www.research.ed.ac.uk/en/datasets/physical-and-visual-effects-of-ocean-acidification-on-cold-water-
8,9,Kii Nche Ndutsa - Time and the Seashell,https://www.research.ed.ac.uk/en/datasets/kii-nche-ndutsa-time-and-the-seashell
9,10,The Rime of the Ancient Mariner,https://www.research.ed.ac.uk/en/datasets/the-rime-of-the-ancient-mariner
10,11,Tarkovsky's Andrei Rublev: A Journey,https://www.research.ed.ac.uk/en/datasets/tarkovskys-andrei-rublev-a-journey
11,12,Uppland,https://www.research.ed.ac.uk/en/datasets/uppland
12,13,Becoming Animal film,https://www.research.ed.ac.uk/en/datasets/becoming-animal-film
13,14,I don’t know what I’m doing but I’m trying very hard,https://www.research.ed.ac.uk/en/datasets/i-dont-know-what-im-doing-but-im-trying-very-hard
14,15,Polterheist,https://www.research.ed.ac.uk/en/datasets/polterheist
15,16,Catalogue: It Will Seem a Dream,https://www.research.ed.ac.uk/en/datasets/catalogue-it-will-seem-a-dream
16,17,Llechi A Llafur // Slate or State,https://www.research.ed.ac.uk/en/datasets/llechi-a-llafur-slate-or-state
17,18,Hybrid Soundscapes 1-4,https://www.research.ed.ac.uk/en/datasets/hybrid-soundscapes-1-4
18,19,We Began as Part of the Body,https://www.research.ed.ac.uk/en/datasets/we-began-as-part-of-the-body
19,20,Requiem for Edward Snowden,https://www.research.ed.ac.uk/en/datasets/requiem-for-edward-snowden
20,21,Spreadsheet for sample size calculation,https://www.research.ed.ac.uk/en/datasets/spreadsheet-for-sample-size-calculation
21,22,FMR1 knock-out mouse EEG recordings,https://www.research.ed.ac.uk/en/datasets/fmr1-knock-out-mouse-eeg-recordings
22,23,"The Unconformity Project: A film of an obsession with the Bass Rock, an island off the south-east coast of Scotland.",https://www.research.ed.ac.uk/en/datasets/the-unconformity-project-a-film-of-an-obsession-with-the-bass-roc
23,24,Mechanical properties of pristine and nanoporous graphene,https://www.research.ed.ac.uk/en/datasets/mechanical-properties-of-pristine-and-nanoporous-graphene
24,25,C57Bl6/J mouse EEG recordings,https://www.research.ed.ac.uk/en/datasets/c57bl6j-mouse-eeg-recordings
0,1,Temporal analysis of RNA turnover in Interferon Gamma treated bone marrow-derived macrophages,https://www.research.ed.ac.uk/en/datasets/temporal-analysis-of-rna-turnover-in-interferon-gamma-treated-bon-2
1,2,Eidolon,https://www.research.ed.ac.uk/en/datasets/eidolon
2,3,"PA-X Women, Girls and Gender Database, v1",https://www.research.ed.ac.uk/en/datasets/pa-x-women-girls-and-gender-database-v1
3,4,Modelling subclinical vCJD infection in the UK,https://www.research.ed.ac.uk/en/datasets/modelling-subclinical-vcjd-infection-in-the-uk
4,5,LGI2 DataVault data,https://www.research.ed.ac.uk/en/datasets/lgi2-datavault-data
5,6,Electrowetting controls the deposit patterns of evaporated salt water nanodroplets,https://www.research.ed.ac.uk/en/datasets/electrowetting-controls-the-deposit-patterns-of-evaporated-salt-w
6,7,Freud's House: The Double Mirror,https://www.research.ed.ac.uk/en/datasets/freuds-house-the-double-mirror
7,8,LTP data from MAPT-AD experiment and APP/PS1 experiment,https://www.research.ed.ac.uk/en/datasets/ltp-data-from-mapt-ad-experiment-and-appps1-experiment
8,9,SkyScan bone micro CT data from Carmen Huesa and Neil Mackenzie,https://www.research.ed.ac.uk/en/datasets/skyscan-bone-micro-ct-data-from-carmen-huesa-and-neil-mackenzie
9,10,2189N and 2190N Ruminant cattle myeloid cell subsets,https://www.research.ed.ac.uk/en/datasets/2189n-and-2190n-ruminant-cattle-myeloid-cell-subsets
10,11,Nils Lindstrom time lapse videos,https://www.research.ed.ac.uk/en/datasets/nils-lindstrom-time-lapse-videos
11,12,"The documentation of Ambel, an Austronesian language of Eastern Indonesia",https://www.research.ed.ac.uk/en/datasets/the-documentation-of-ambel-an-austronesian-language-of-eastern-in-2
12,13,Hyperboles,https://www.research.ed.ac.uk/en/datasets/hyperboles
13,14,Susan Ferrier,https://www.research.ed.ac.uk/en/datasets/susan-ferrier
14,15,Walter Scott,https://www.research.ed.ac.uk/en/datasets/walter-scott
15,16,Roslin Bio-Imaging Archive,https://www.research.ed.ac.uk/en/datasets/roslin-bio-imaging-archive
16,17,Comparative Evolutionary and Structural Analysis of the Avian and Mammalian CSF1R systems,https://www.research.ed.ac.uk/en/datasets/comparative-evolutionary-and-structural-analysis-of-the-avian-and
17,18,Data relating to Laura Corbin PhD,https://www.research.ed.ac.uk/en/datasets/data-relating-to-laura-corbin-phd
18,19,Les Yeux Enchantes,https://www.research.ed.ac.uk/en/datasets/les-yeux-enchantes
19,20,Clayoquot Lives,https://www.research.ed.ac.uk/en/datasets/clayoquot-lives
20,21,Data for Lauren Geddes MSc,https://www.research.ed.ac.uk/en/datasets/data-for-lauren-geddes-msc
21,22,Crazy Paving,https://www.research.ed.ac.uk/en/datasets/crazy-paving
22,23,Stolen Voices,https://www.research.ed.ac.uk/en/datasets/stolen-voices
23,24,"Student ratings of food masculinity, healthiness and palatability, 2015",https://www.research.ed.ac.uk/en/datasets/student-ratings-of-food-masculinity-healthiness-and-palatability-
24,25,The student diet 2014,https://www.research.ed.ac.uk/en/datasets/the-student-diet-2014
0,1,Bridging the Gap: Crannog,https://www.research.ed.ac.uk/en/datasets/bridging-the-gap-crannog
1,2,"""Data from: Canine Brachycephaly is Associated with a Retrotransposon-Mediated Missplicing of SMOC2",https://www.research.ed.ac.uk/en/datasets/data-from-canine-brachycephaly-is-associated-with-a-retrotranspos
2,3,Rocking Horse Winner,https://www.research.ed.ac.uk/en/datasets/rocking-horse-winner
3,4,Yaavi,https://www.research.ed.ac.uk/en/datasets/yaavi
4,5,War of the Corners,https://www.research.ed.ac.uk/en/datasets/war-of-the-corners
5,6,Graphic Scores: Gradations of Light,https://www.research.ed.ac.uk/en/datasets/graphic-scores-gradations-of-light
6,7,"Social Dynamics of Public Engagement in Stem Cell Research, 2005-2007",https://www.research.ed.ac.uk/en/datasets/social-dynamics-of-public-engagement-in-stem-cell-research-2005-2
7,8,Breath Cycle,https://www.research.ed.ac.uk/en/datasets/breath-cycle
8,9,RADseq of Sitka Spruce,https://www.research.ed.ac.uk/en/datasets/radseq-of-sitka-spruce
9,10,Analysed data for paper 'Genetic variation and potential for improvement of cuticle deposition on chicken eggs through selection',https://www.research.ed.ac.uk/en/datasets/analysed-data-for-paper-genetic-variation-and-potential-for-impro
10,11,UK Live Music Census 2017 data for DataVault,https://www.research.ed.ac.uk/en/datasets/uk-live-music-census-2017-data-for-datavault
11,12,Freedom fields,https://www.research.ed.ac.uk/en/datasets/freedom-fields
12,13,Syrian Stories,https://www.research.ed.ac.uk/en/datasets/syrian-stories
13,14,ToDoJoyComplete,https://www.research.ed.ac.uk/en/datasets/todojoycomplete
14,15,Interventions tested in preclinical studies using transgenic mouse models of AD,https://www.research.ed.ac.uk/en/datasets/interventions-tested-in-preclinical-studies-using-transgenic-mous
15,16,"Female identity threat and eating, 2015",https://www.research.ed.ac.uk/en/datasets/female-identity-threat-and-eating-2015
16,17,"Filicide-suicide and filicide-parasuicide in the United Kingdom between 2005 and 2013: prevalence, characteristics and risk factors",https://www.research.ed.ac.uk/en/datasets/filicide-suicide-and-filicide-parasuicide-in-the-united-kingdom-b
17,18,Chance for Change,https://www.research.ed.ac.uk/en/datasets/chance-for-change
18,19,DNA sequencing libraries of rat brain tissue,https://www.research.ed.ac.uk/en/datasets/dna-sequencing-libraries-of-rat-brain-tissue
19,20,"""At the heart of everything a row of holes""",https://www.research.ed.ac.uk/en/datasets/at-the-heart-of-everything-a-row-of-holes
20,21,Soft Bijel X-ray CT test,https://www.research.ed.ac.uk/en/datasets/soft-bijel-x-ray-ct-test
